角色,剧情名称,好感等级,台词内容
夏儿,身份谬误,2,具有很高的自然亲和力，加之温柔清爽的性格和气质，时常会被外人误以为是木精灵。夏儿本人对此并不反感：「木精灵也很棒，那种穿行林地的敏捷度，令人向往。」
夏儿,营养补充,4,平时就有随身携带应急食物的习惯，在临战时更是会加倍储存。不仅是自己，连同洛伊莱那份也会一同考虑进去。夏儿深知，饿着肚子是无法获得胜利的。
夏儿,一字直线,6,和携枪冲锋时的气势一样，大部分时间中夏儿的思维模式也是直线型。通常她解决问题的过程就是把目标和结果笔直地相连，然后平缓而坚定地执行下去。
夏儿,恶念感知,8,夏儿从未恶意揣度过他人，但对他人的恶意倒是格外敏感，这一点和天马颇为相似。除此之外，她还可以敏锐地感知到凶兽的恶念，并在行动中屡次帮助骑士团转危为安。
夏儿,直到天涯尽头,10,闲暇时很喜欢与洛伊莱在空中漫无目的地骑行，往往等回过神来时已经离出发地十分遥远了。抵达前人未至的地方，目睹前所未见的风景，正是她一直以来的梦想。
法兰塔,实力至上,2,法兰塔是翼人部落最年轻的族长，许多人以为她的领导风格会更加自由随和，事实却并非如此。法兰塔尊重翼人的传统观念，崇尚力量，而她自己也正是族内最强的战士。
法兰塔,这也是传承,4,在其他族人看来，法兰塔对米蒂有些冷淡，不似其他姐妹那般亲近。这是因为，法兰塔的父亲就是一位严格的家长。与其说她对米蒂冷淡，不如说她只知道这样的相处模式。
法兰塔,掉毛中,6,一到换羽期，法兰塔身后的翅膀就开始掉毛，法兰塔每天都要花上不少时间打理衣物。不知道为什么，黑色的羽绒总是精准地附在白色的长袜上，而她的黑斗篷上则满是白色的绒毛。
法兰塔,辣椒！辣椒！,8,法兰塔曾经表示过自己并不需要爱好，她的生活几乎没有公务之外的内容——除了对辣椒表现出的不同寻常的偏爱。在想要缓解压力的时候，她几乎会不受控制地向辣椒伸出手。
法兰塔,萨满的担忧,10,「族长的胃病又犯了，她还在发作期间吃了大量辣椒。而且，这次又是忍了三天，痛得受不了才来找我开药。…神鹰啊，请您保佑法兰塔族长的健康。」——翼人萨满手记节选
女主角,狼人少女如是说,Unknown,「虽然我早就有离开村子去外面看看的想法，但却是在和那个人认识之后才真正实现了愿望…那家伙，身上有种谁都约束不了的冲劲儿呢。当然！我也没差多少！」
女主角,木精灵的好奇,Unknown,「风语叶的生长条件还蛮严苛的，该说不愧是星临者吗，竟然第一次就种了出来…到底是用了什么样的技术呢…」
女主角,守护者的箴言,Unknown,「呼呼，从无垠天空中的一颗星，到脚踏实地的渺小生命…星临之人啊，你有思考过自己名字的意义吗？」
女主角,萨满的灵魂论,Unknown,「死后的灵魂究竟会去向何方，即便是我也无法知晓。毕竟，生者对死界的幻想不等于真正的真实，但如果是那个人的话…说不定能触碰到…」
女主角,童言无忌,Unknown,「打架很厉害，会做好吃的，愿意陪阿比玩游戏，还有…啊，能很快找到偷偷睡懒觉也不会被发现的地方…唔？这个不能说吗？」
男主角,狼人少女如是说,Unknown,「虽然我早就有离开村子去外面看看的想法，但却是在和那个人认识之后才真正实现了愿望…那家伙，身上有种谁都约束不了的冲劲儿呢。当然！我也没差多少！」
男主角,木精灵的好奇,Unknown,「风语叶的生长条件还蛮严苛的，该说不愧是星临者吗，竟然第一次就种了出来…到底是用了什么样的技术呢…」
男主角,守护者的箴言,Unknown,「呼呼，从无垠天空中的一颗星，到脚踏实地的渺小生命…星临之人啊，你有思考过自己名字的意义吗？」
男主角,萨满的灵魂论,Unknown,「死后的灵魂究竟会去向何方，即便是我也无法知晓。毕竟，生者对死界的幻想不等于真正的真实，但如果是那个人的话…说不定能触碰到…」
男主角,童言无忌,Unknown,「打架很厉害，会做好吃的，愿意陪阿比玩游戏，还有…啊，能很快找到偷偷睡懒觉也不会被发现的地方…唔？这个不能说吗？」
诺诺,可靠的锤子,2,对于诺诺来说，锤子首先是工具，其次才是武器。尽管更愿意用锤子去开采亮晶晶的宝物，但如果遇上阻碍寻宝之路的巨石、机关或者敌人，诺诺也不介意挥出全力一击。
诺诺,友谊长久的秘密,4,「这个月的收入正好可以把诺诺意外造成的损失填上，这也算是一种收支平衡了吧？哈、哈哈…」——来自缇缇和那颗被捶打得无比坚强的心脏。
诺诺,关于拱拱,6,「那个…真的是拉加野猪吗？我还是第一次见到如此面容憨厚、喜欢在泥里打滚的拉加野猪。想来照顾它的，一定是个…呃，心智淳朴的孩子吧。」——路过的牧民如此感叹。
